Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_EdgeFinder)
14112.305,1630,54.7239263803681,8.65785582822086,-10057.313,1.10023991214025,145.319259884575,0,1
43619.77,5991,54.0978133867468,7.2808829911534,-8554.607,1.13115041289913,540.92681018292,0,2
4956.296,2728,54.3988269794721,1.81682404692082,-13552.744,1.02280279442138,38.0754281731815,0,3
39931,4352,54.6875,9.17532169117647,-13043,1.11664646169576,320.280729897734,0,4
33163,3974,53.9758429793659,8.34499245093105,-13205,1.1077938709971,264.732178494452,0,5
27545.439,1775,56.8450704225352,15.5185571830986,-10452.135,1.16349229673315,271.527156965233,0,6
10480.5,2580,52.6356589147287,4.06220930232558,-8937,1.0767096918218,125.110421391906,0,7
27004.409,1414,57.4257425742574,19.0978847241867,-7508.838,1.2226571233485,378.274573537038,0,8
36327.125,3416,54.8594847775176,10.6344042740047,-13178.5,1.12962833279436,294.659731516405,0,9
34872.844,2852,54.7335203366059,12.2275049088359,-12013.555,1.12529696633069,320.70197380703,0,10
9231.849,2232,54.1666666666667,4.13613306451613,-11699.06,1.05926162492243,80.1615152441354,0,11
34579.059,2059,53.861097620204,16.7941034482759,-7809.645,1.23617092475946,504.916779185765,0,12
5587.254,3132,53.2886334610473,1.78392528735632,-15145.105,1.02996900465054,37.5169689923287,0,13
31527.834,1425,56.4912280701754,22.1247957894737,-11531.51,1.25698408547084,316.496535163846,0,14
15727.519,1843,55.2360282148671,8.53365111231687,-8916.184,1.13777768071373,179.770111710516,0,15
-492.25,1526,53.3420707732634,-0.322575360419397,-9292.625,0.995583325202076,-5.4062959047789,0,16
30280.701,4754,53.8914598233067,6.3695206142196,-14847.024,1.08968403848136,207.679982979963,0,17
11211.5,1296,54.4753086419753,8.6508487654321,-11399,1.1093101027631,102.985348826528,0,18
22447.25,1131,55.7029177718833,19.8472590627763,-6280.5,1.22086902190758,370.998264606231,0,19
4182.5,1349,55.9673832468495,3.1004447739066,-12002.5,1.03674661746617,38.4597701149425,0,20
31729.5,3224,55.1799007444169,9.84165632754342,-11632.5,1.1077662186809,296.814780168382,0,21
17135.18,3030,53.8613861386139,5.65517491749175,-6736.125,1.1109056011601,288.884674099869,0,22
15281.74,5635,53.7355811889973,2.71193256433008,-11725.349,1.04706857751546,133.292466283157,0,23
12239.059,1014,55.8185404339251,12.0700779092702,-7222.906,1.13062683255173,186.987010431438,0,24
26785.802,1751,54.5402627070246,15.2974311821816,-4758.705,1.2199856547531,659.342818461539,0,25
17772.375,1909,55.3169198533263,9.30978260869565,-9565.625,1.1126385313949,196.019742737788,0,26
28678.78,3973,53.9894286433426,7.21841933048074,-12682.589,1.1200571563355,240.491119185777,0,27
17145,5050,53.4257425742574,3.3950495049505,-11355,1.05274390595619,157.293577981651,0,28
15522.187,1585,54.384858044164,9.79317791798107,-9348.123,1.12574207037989,173.954645699717,0,29
30472.75,3470,55.3314121037464,8.78177233429395,-12148.25,1.11173127515056,262.962483550148,0,30
16499.75,3168,52.3358585858586,5.20825441919192,-7737.5,1.0961617756978,224.562776454576,0,31
10928.772,1198,53.6727879799666,9.1225141903172,-10614.995,1.1076345363995,111.036601999798,0,32
24147.625,3060,53.8235294117647,7.89138071895425,-7141.625,1.1467100156901,364.815968878062,0,33
3658.125,1180,54.9152542372881,3.10010593220339,-16513.125,1.03301929369288,22.7557248940554,0,34
6165,1000,54.7,6.165,-10442.5,1.06821576763485,64.3360292199322,0,35
21625.646,2606,55.1419800460476,8.29840598618573,-10889.895,1.10576638673068,219.283648843926,0,36
18696,1049,53.6701620591039,17.8226882745472,-6287.5,1.19872448979592,363.346613545817,0,37
14374.337,1386,54.1125541125541,10.3710945165945,-12714.64,1.09531095926872,117.584951376891,0,38
12486.02,1353,55.5062823355506,9.22839615668884,-4302.58,1.1714349822338,314.389820091054,0,39
7726.108,1601,54.9656464709557,4.82580137414116,-15516.785,1.04477704643151,51.4926769252917,0,40
16224.027,2561,53.8071065989848,6.3350359234674,-12804.81,1.07171600456411,133.533174592854,0,41
10598.872,937,53.7886872998933,11.3114962646745,-8650,1.10538737018088,132.032039862971,0,42
1191.101,1203,55.2784704904406,0.99010889443059,-19823.918,1.00979659196336,6.20561680007177,0,43
24253.066,4299,53.9660386136311,5.64155989765062,-14610.678,1.08404190647318,173.35161312411,0,44
22555.683,2935,55.4684838160136,7.68507086882453,-7243.205,1.12722701738768,331.058334513639,0,45
11839.692,1346,55.2748885586924,8.79620505200594,-22656.779,1.10502900006855,53.1660320031017,0,46
17880.203,1251,55.8752997601918,14.2927282174261,-7205,1.16285478315508,274.236242331288,0,47
25632.98,5412,52.8270509977827,4.73632298595713,-15734.273,1.0909112724228,166.6722477714,0,48
30895.272,1692,56.3829787234043,18.2596170212766,-8932.406,1.19469401195559,363.458779525693,0,49
33851.285,1171,56.3620836891546,28.9080145175064,-5266.247,1.3778160485388,662.290141720797,0,50
19823.25,1812,55.0220750551876,10.9399834437086,-6316.25,1.1602837252175,342.296568098424,0,51
12950.222,1303,53.2617037605526,9.93877359938603,-10644.195,1.14347562536602,130.820960694279,0,52
29389.4,3331,54.9384569198439,8.82299609726809,-11587.316,1.09966489124117,268.038032810568,0,53
19357.25,3038,54.4107965766952,6.37170836076366,-11484.25,1.07558901226348,174.716248843559,0,54
46177.048,3347,55.4825216611891,13.7965485509411,-9369.997,1.1729428478619,549.680431696947,0,55
40817.5,2216,55.7310469314079,18.4194494584838,-9847.5,1.24071534934466,453.275957801222,0,56
10878.25,2784,53.6637931034483,3.90741738505747,-7949,1.07489638126188,139.170344783471,0,57
44438.341,2326,55.5460017196905,19.1050477214101,-7810,1.23856780553082,642.694979661936,0,58
37105.07,1522,55.5847568988173,24.3791524310118,-11175.717,1.27689899442236,362.94905996811,0,59
22023.016,1916,54.5929018789144,11.494267223382,-6025.718,1.18971207735168,394.505481119712,0,60
39532.761,3067,54.8418650146723,12.8897166612325,-10770.711,1.14193615230009,401.115262003928,0,61
24021.125,4219,53.993837402228,5.69355890021332,-9046.375,1.08969976073093,280.924187936731,0,62
6704.5,2023,54.4735541275334,3.31413741967375,-13714.5,1.04052012256665,50.4496030700929,0,63
21572.862,3200,54.28125,6.741519375,-16876.202,1.09482422233596,128.683060952545,0,64
14644.5,1869,55.0026752273943,7.8354735152488,-8418,1.10519491714136,180.118073919193,0,65
5986.649,1147,53.4437663469922,5.21939755884917,-11493.392,1.0495753638113,56.4940014894832,0,66
22453.753,2721,54.9430356486586,8.25202241822859,-9750,1.09676803824192,259.731093117409,0,67
