Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,numStratsToGenerate (_EdgeFinder)
23312.5,3726,52.7911969940955,6.25670960815888,-5287.5,1.11106479275846,470.010080645161,0,1
17747.5,2000,54.75,8.87375,-4076.25,1.21389455923228,547.551099112997,0,2
13889.589,1924,54.7297297297297,7.2191211018711,-7385.813,1.08022710197906,210.581910069312,0,3
23076.758,1360,55.8088235294118,16.9682044117647,-5907.858,1.21956876079504,431.197323659803,0,4
29780.125,7081,52.8880101680554,4.20563832791979,-10116.75,1.08299379778638,302.282589387672,0,5
6115.794,1879,52.5811601915913,3.25481319850985,-8088.376,1.06025850053061,81.6432417249999,0,6
21847.946,2232,55.1523297491039,9.78850627240143,-12491.965,1.1080989274272,189.004819859743,0,7
15130,2499,54.3817527010804,6.05442176870748,-8076.5,1.14354293954689,193.999230670599,0,8
30445.918,2204,55.3539019963702,13.8139373865699,-16544.035,1.15393980815942,190.733805280595,0,9
4728.173,1433,54.5708304256804,3.29949267271458,-8474.824,1.04802018098172,58.0942490640816,0,10
20571.962,2321,54.1576906505816,8.86340456699698,-7411.072,1.13882278827381,302.227203524952,0,11
7607.353,2379,51.6183270281631,3.19771038251366,-5033.932,1.06198219222707,159.854206784211,0,12
18875.5,1805,55.6786703601108,10.4573407202216,-13249.75,1.15467109703971,146.182888342466,0,13
39509.987,2467,55.3303607620592,16.015398054317,-8553.125,1.18749298206087,509.765173776308,0,14
16235,1907,55.4273728369166,8.51337178814893,-14107,1.09435195866762,118.287795992714,0,15
10059.794,2851,51.52578042792,3.52851420554191,-11107.598,1.05719380761904,92.5668579202138,0,16
22775,2047,54.6165119687347,11.1260381045432,-3717.5,1.24803288954232,677.323420074349,0,17
41723.152,6755,53.279052553664,6.17663242042931,-6669.753,1.14273323910253,659.941195013866,0,18
10122.106,1670,53.4131736526946,6.06114131736527,-7810.004,1.07997035581624,140.829222495041,0,19
5322.5,846,54.9645390070922,6.29137115839243,-6197.5,1.07439633784114,112.88441145281,0,20
20897.106,1900,55.8421052631579,10.9984768421053,-8905.359,1.13159296407596,253.990895413942,0,21
24043.277,3224,54.0012406947891,7.45759212158809,-6950.896,1.13328678799222,360.160219494026,0,22
10994,2509,54.125149461937,4.38182542845755,-9564,1.08192265633878,122.247240986295,0,23
29497.165,3830,53.5770234986945,7.70160966057441,-10470.368,1.14936142739042,290.244495943468,0,24
