Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,numStratsToGenerate (_EdgeFinder)
16907.624,2116,52.5992438563327,7.99037051039697,-7431.625,1.17958794060342,246.344332286089,0,1
-2629.886,1345,44.5353159851301,-1.95530557620818,-7483.882,0.937362569783623,-37.1774083876434,0,2
10919.842,2721,50.5328923190004,4.0131723631018,-10562.509,1.1065893285476,106.873818266272,0,3
4751.114,1703,52.3194362889019,2.78984967704052,-3753.394,1.07303644926364,133.237667748957,0,4
600.625,405,52.3456790123457,1.48302469135802,-4184.375,1.02584305921583,16.9339207048458,0,5
16975.27,2673,53.2734754956977,6.35064347175458,-6948.23,1.14080846413381,266.248257062329,0,6
16021.5,1050,56.0952380952381,15.2585714285714,-5604.125,1.29732833192988,372.408983932359,0,7
-851.34,15,33.3333333333333,-56.756,-1187.59,0.264558263288384,-80.6888511880503,0,8
-10301.841,325,49.2307692307692,-31.6979723076923,-10780.903,0.632476814858355,-96.4059003717327,0,9
17548.25,2852,54.2075736325386,6.15296283309958,-10791.5,1.10261534413192,170.512073070009,0,10
20802.445,2848,54.1081460674157,7.30422928370786,-9592.509,1.12304197061584,228.786630840838,0,11
2691.245,175,52.5714285714286,15.3785428571429,-2480,1.28072360640355,128.154523809524,0,12
12546.5,2544,53.9308176100629,4.93180031446541,-6473,1.09163480464656,197.878716189575,0,13
11832.778,2409,51.4321295143213,4.91190452469905,-9783.772,1.13232992274787,124.049280137946,0,14
1689.58,2397,52.4822695035461,0.704872757613684,-12129.681,1.01538573979649,14.0705772386065,0,15
9869.973,2883,50.9191814082553,3.42350780437045,-10756.432,1.09642965820175,94.2336937073871,0,16
15415,2085,55.2997601918465,7.39328537170264,-6655,1.13305999136815,259.402608329828,0,17
28005.848,2820,55.7446808510638,9.93115177304965,-8490.131,1.1504253406209,341.321156237481,0,18
14832.5,1992,54.2670682730924,7.44603413654619,-4100,1.13996225524888,390.843214756258,0,19
-1356.786,15,20,-90.4524,-1566.786,0.127067991347796,-87.7164649796417,0,20
28101.25,3059,55.8352402745995,9.18641712978097,-11468.75,1.1307726762415,252.510389756262,0,21
26138.439,2373,56.3843236409608,11.0149342604298,-7142.446,1.17483051530379,381.168717916262,0,22
11848.387,2067,52.3947750362845,5.73216594097726,-6939.119,1.13465394826962,183.330143315608,0,23
-295,15,53.3333333333333,-19.6666666666667,-1010,0.717703349282297,-35.2238805970149,0,24
18710.434,2301,55.9322033898305,8.1314358974359,-6861.132,1.13809887955988,289.536418225113,0,25
4633.375,2222,51.1701170117012,2.08522727272727,-10746.625,1.05021818974989,44.6735685102383,0,26
9513.75,1140,55.2631578947368,8.3453947368421,-3081.5,1.18722878762534,347.931428571429,0,27
524.69,280,45.7142857142857,1.87389285714286,-2226.032,1.0421219292131,26.0636527561832,0,28
7696.382,1198,53.6727879799666,6.42435893155259,-3952.858,1.13284097161789,219.069297720779,0,29
13626.5,2596,54.0446841294299,5.24903697996918,-6149.5,1.09492445193694,237.519609552031,0,30
-2917.361,410,50.7317073170732,-7.11551463414634,-6184.697,0.886856198060691,-49.4702991946852,0,31
6900,537,53.2588454376164,12.8491620111732,-2672.5,1.30386436199494,296.774193548387,0,32
11425.462,1582,52.7812895069532,7.22216308470291,-3563.218,1.19324294056268,360.444453417948,0,33
15087.901,2040,53.1862745098039,7.39602990196078,-4698.188,1.1556790496846,358.760551203252,0,34
20657.048,2446,53.147996729354,8.44523630417007,-6278.945,1.16194071395361,366.816119131058,0,35
17952.086,2401,54.9770928779675,7.47692044981258,-9105.724,1.13763843734905,211.618672334952,0,36
32731.817,2957,56.2732499154549,11.0692651335813,-9373.133,1.16355198788729,362.352873582178,0,37
12237.5,2718,50.5150846210449,4.50239146431199,-9305.625,1.12013154342651,135.062426708974,0,38
10294.068,2173,53.15232397607,4.73726092959043,-4932.344,1.12619419540202,230.558290502423,0,39
-1172.5,248,52.4193548387097,-4.72782258064516,-4680,0.917834618079888,-27.2674418604651,0,40
30569.521,2955,56.3451776649746,10.3450155668359,-9494.302,1.15319225003047,333.936120962581,0,41
-2737.011,531,51.9774011299435,-5.15444632768362,-8530.133,0.93021901834386,-35.6956442750977,0,42
14717.5,2498,54.2834267413931,5.89171337069656,-5906.5,1.11210301213767,260.994857244192,0,43
14362.5,2064,53.0038759689922,6.95857558139535,-6015,1.13981844289226,250,0,44
16911.833,1504,52.4601063829787,11.2445698138298,-4071.786,1.24172800582531,502.631858947839,0,45
15087.901,2040,53.1862745098039,7.39602990196078,-4698.188,1.1556790496846,358.760551203252,0,46
18635,2676,55.6427503736921,6.96375186846039,-9202.5,1.13715568476641,210.1494220468,0,47
27143.25,2508,56.3397129186603,10.8226674641148,-7500.5,1.16883149194896,381.058173203475,0,48
16455,2836,54.1255289139633,5.80218617771509,-12317.5,1.09613741428039,141.002570694087,0,49
7377.75,1655,49.1238670694864,4.45785498489426,-2455.5,1.17780067237827,315.895953757225,0,50
8171,1775,54.0845070422535,4.60338028169014,-3626,1.1117275657789,268.033459078235,0,51
10303.112,2139,51.2856474988312,4.81678915381019,-7282.051,1.10345441927462,150.805548729071,0,52
3894.888,790,46.2025316455696,4.93023797468354,-3205,1.17719292674629,214.09553167853,0,53
18663.09,1936,55.2169421487603,9.64002582644628,-3315,1.24570836915164,675.739605977966,0,54
11130.624,2025,53.1851851851852,5.49660444444444,-8346.173,1.1075670896403,144.203854729952,0,55
26778.058,2756,56.1320754716981,9.71627648766328,-9821.078,1.15276874145866,282.287980343404,0,56
11185.659,548,57.8467153284672,20.4117864963504,-4704.467,1.36548868071293,254.394881744621,0,57
27562.25,3071,55.3891240638229,8.97500814067079,-9705.625,1.13449805845259,294.499946575489,0,58
12208,1154,55.2859618717504,10.578856152513,-3774.875,1.24436832399621,363.888371399829,0,59
8068.807,1649,53.9721043056398,4.89315160703457,-2686.027,1.13248754593027,334.316003094227,0,60
14408.75,605,59.8347107438017,23.8161157024793,-4608.75,1.38854619611016,328.873038516405,0,61
12475.747,2402,53.413821815154,5.19389966694421,-7096.72,1.09865387396141,187.90982976916,0,62
16271.875,2535,55.4635108481262,6.41888560157791,-7956.875,1.09971962831601,211.271605940112,0,63
9225,918,55.119825708061,10.0490196078431,-4210,1.20968291851347,242.763157894737,0,64
1100.625,1099,44.5859872611465,1.00147861692448,-3811.875,1.0610885628057,31.6555815207622,0,65
6736.25,1190,53.0252100840336,5.66071428571429,-4289.375,1.12418481391865,169.919596405486,0,66
-10780.726,320,49.0625,-33.68976875,-12378.404,0.614956964516566,-88.9799556021573,0,67
11427.5,1805,52.9639889196676,6.33102493074792,-3257.5,1.17982611432393,363.06592533757,0,68
-3227.5,2132,45.1219512195122,-1.51383677298311,-4913,0.909536822927615,-67.6837579951767,0,69
79,183,51.3661202185792,0.431693989071038,-2209.25,1.00648757403739,3.95940358351084,0,70
9612.5,2905,52.3580034423408,3.30895008605852,-9630,1.06911054991867,104.003245875034,0,71
5864.346,1694,53.482880755608,3.46183353010626,-3918.736,1.0939225403536,169.920167731213,0,72
21950.449,2083,55.4488718194911,10.5379015842535,-6052.5,1.1747734335706,380.58862592111,0,73
4150,366,52.4590163934426,11.3387978142077,-2585,1.22696199070276,169.387755102041,0,74
16585,2345,55.2665245202559,7.0724946695096,-8775,1.11396060336934,194.659624413146,0,75
14961,2416,55.091059602649,6.19246688741722,-9341.75,1.10183231462448,165.933730763899,0,76
-1591.25,1393,43.5750179468772,-1.14231873653984,-2651.625,0.916068885489741,-61.3997009598225,0,77
895.136,316,52.8481012658228,2.83270886075949,-3803.04,1.04696495357026,26.9807654862642,0,78
6580.616,328,55.1829268292683,20.0628536585366,-1536.344,1.58367393314082,584.245665622581,0,79
16313.5,2645,52.703213610586,6.16767485822306,-6153,1.13896366083445,280.879820936639,0,80
-183.267,1325,53.5849056603774,-0.138314716981132,-8431.077,0.99781715548538,-2.26285307883074,0,81
16103.206,1828,53.2275711159737,8.80919365426696,-4073.657,1.1766762741139,459.972401437685,0,82
10517.101,1987,53.0951182687469,5.29295470558631,-3417.412,1.13433253452416,345.399177381809,0,83
17912.389,2217,55.4352728912945,8.07956202074876,-4695.068,1.14504506822132,438.854030793595,0,84
24720.75,2665,55.984990619137,9.27607879924953,-11035.5,1.13692074747487,231.132251881632,0,85
16156.157,1946,52.7749229188078,8.30223895169579,-4801.161,1.18922386864674,419.805855969742,0,86
-916.269,1311,43.4019832189169,-0.698908466819222,-5592.684,0.954333757416281,-16.5910090093875,0,87
-1510.125,1482,43.5222672064777,-1.01897773279352,-2442.125,0.9196565735833,-63.8530655391121,0,88
-840.25,15,46.6666666666667,-56.0166666666667,-1242.75,0.285045734950011,-75.6811528934925,0,89
-340.252,339,50.7374631268437,-1.00369321533923,-4387.685,0.980787497361649,-8.42215842624262,0,90
7555,561,47.7718360071301,13.4670231729055,-1585,1.39529103989536,556.537753222836,0,91
15609.58,2286,53.8057742782152,6.82833770778653,-4565.041,1.14011962642259,368.022965628182,0,92
25398.694,3092,54.7218628719276,8.21432535575679,-11399.705,1.12094625463022,228.720114582062,0,93
10270,792,52.3989898989899,12.9671717171717,-4502.5,1.28992871762298,242.216981132075,0,94
4824.236,2503,53.0962844586496,1.92738154214942,-10703.944,1.03498955641121,46.9788909161448,0,95
-4286.411,185,49.1891891891892,-23.1697891891892,-5305.786,0.728756490536654,-83.4616356678413,0,96
9007.5,976,51.9467213114754,9.22899590163934,-6290,1.24486883240451,157.336244541485,0,97
-1702.506,992,43.4475806451613,-1.71623588709677,-4428.942,0.906337045380738,-42.2398635229237,0,98
8316.218,2330,52.8326180257511,3.56919227467811,-9879.378,1.07233655140495,86.2063146232387,0,99
13721.17,1803,52.7454242928453,7.61018857459789,-6628.043,1.1576026020314,213.624134230457,0,100
22196.406,2840,54.0140845070423,7.81563591549296,-10487.146,1.13559048220606,222.249739815559,0,101
7732.94,923,52.762730227519,8.37804983748646,-2848.942,1.19629222358957,321.701298463576,0,102
7042.181,2539,53.8400945254037,2.773604174872,-10813.455,1.04738351930517,67.8375062795282,0,103
19219.875,2234,53.401969561325,8.60334601611459,-6868.125,1.19274832365783,301.576934392468,0,104
3875,1409,51.3839602555004,2.75017743080199,-9000,1.05959246443676,45.2290633206887,0,105
1665.447,1075,51.4418604651163,1.54925302325581,-6399.472,1.03759113997276,27.7021749269624,0,106
1665.375,341,56.5982404692082,4.88379765395894,-4021,1.06686507538193,52.3702830188679,0,107
20374.22,2111,51.7290383704405,9.65145428706774,-4068.938,1.2579958964989,552.305839783699,0,108
20461.266,2167,52.9303184125519,9.44220858329488,-5685.553,1.18969483086684,405.778394847132,0,109
1216.125,1388,54.0345821325648,0.876170749279539,-11133.375,1.01369560259807,11.5399670252767,0,110
1373.788,363,50.4132231404959,3.78453994490358,-4673.571,1.07635013595645,31.7193599458425,0,111
-782.5,15,40,-52.1666666666667,-1107.5,0.331196581196581,-79.8469387755102,0,112
12368.235,2232,53.4498207885305,5.54132392473118,-5393.346,1.11375757492589,247.362622153974,0,113
17279.978,1487,55.8843308675185,11.6206980497646,-4959.019,1.21742732837755,394.383272102666,0,114
4288,1036,54.5366795366795,4.13899613899614,-4154.5,1.08338762214984,114.514621444786,0,115
9092.478,2878,50.7644197359277,3.15930437804031,-11515.359,1.09010035097652,80.9453586126203,0,116
-1933.575,1492,43.7667560321716,-1.29596179624665,-2693.394,0.894184250498932,-73.0093407551897,0,117
-4877.09,1922,43.0801248699272,-2.53750780437045,-8996.55,0.879337623526973,-56.6025998648387,0,118
26124.266,3089,55.6167044350923,8.45719197151182,-10427.783,1.12165211765803,258.969349360509,0,119
27672,2581,55.9860519178613,10.721425803952,-9054.875,1.16362624423754,317.526068933863,0,120
7665,1510,51.5894039735099,5.07615894039735,-8225,1.11372825401536,100.196078431373,0,121
28008.847,2845,55.5711775043937,9.8449374340949,-8435.725,1.14940357568359,343.636265485586,0,122
11637.064,2000,54.05,5.818532,-8245.373,1.1105328885966,146.141524547735,0,123
-1753.401,330,50.9090909090909,-5.31333636363636,-4157.143,0.922534643460532,-45.3996913112746,0,124
10331.776,1020,53.6274509803922,10.1291921568627,-2672.688,1.21901441630269,433.752121157671,0,125
13041.022,2837,50.687345787804,4.59676489249207,-8392.505,1.12730441865463,160.801651786898,0,126
10173.518,1955,53.4015345268542,5.20384552429667,-4212.176,1.1394892936278,248.002962330236,0,127
16060,1905,51.5485564304462,8.43044619422572,-5160,1.19103696434413,352.579582875961,0,128
33256.875,2608,56.5184049079755,12.7518692484663,-8105.625,1.19512579711846,425.381725157886,0,129
6642.568,994,55.2313883299799,6.68266398390342,-7216.804,1.13004187550238,93.0422349293433,0,130
17929.61,2868,53.626220362622,6.25160739191074,-8558.951,1.11366089018217,222.480692586417,0,131
5031,358,55.5865921787709,14.0530726256983,-2487,1.28176192209683,232.057195571956,0,132
-5503.937,429,54.0792540792541,-12.82968997669,-8518.218,0.80666743639948,-67.3411256129471,0,133
17852.5,2146,54.7530288909599,8.31896551724138,-4930,1.14821810332302,393.226872246696,0,134
24427.5,2460,56.3008130081301,9.92987804878049,-8148.75,1.15060343100233,310.634239389604,0,135
23298.222,2383,56.3155686109945,9.77684515316827,-5987.172,1.15282163289835,416.469162395149,0,136
9546.177,1465,54.19795221843,6.51616177474403,-3346.831,1.16580655603919,375.785361490863,0,137
10887.725,2218,53.6068530207394,4.90880297565374,-6067.171,1.10264114168642,187.165290482264,0,138
5111.25,339,55.4572271386431,15.0774336283186,-3627.5,1.24822436714624,156.187929717341,0,139
16327.71,1412,56.1614730878187,11.5635339943343,-6776.433,1.18710723456417,281.165728856919,0,140
12773.75,2139,54.7452080411407,5.97183263207106,-6210.625,1.10770163096461,212.607926765838,0,141
-549.625,1830,44.6448087431694,-0.300341530054645,-6247.25,0.987203701817441,-9.16499916624979,0,142
2342.248,562,51.2455516014235,4.16770106761566,-4851.355,1.06343631271787,51.6612904470919,0,143
17133.25,2786,53.9483129935391,6.14976669059584,-10337.25,1.10352620217618,174.167069048769,0,144
10082.5,1310,52.4427480916031,7.69656488549618,-2877.5,1.23598595669982,395.780176643768,0,145
21234.5,2147,53.9357242664183,9.8903120633442,-5969,1.19463871600502,373.41950233008,0,146
-1032.5,15,20,-68.8333333333333,-1235,0.160569105691057,-84.4580777096115,0,147
13892.875,620,56.6129032258064,22.4078629032258,-5995,1.30428545224074,276.750498007968,0,148
8899.5,3041,52.581387701414,2.92650443932917,-8844.25,1.05942954448702,105.547484211463,0,149
10927.5,2455,50.10183299389,4.45112016293279,-5641.25,1.14045178496835,204.682744088036,0,150
27693.845,2160,56.1111111111111,12.821224537037,-6122.323,1.20930848899565,474.427147512653,0,151
27923.227,2734,55.8522311631309,10.2133237015362,-8450.965,1.16135338464475,347.897624265896,0,152
14881.042,3017,53.8945972820683,4.93239708319523,-10970.364,1.07995938347744,144.156137289031,0,153
7416.5,2056,52.8696498054475,3.60724708171206,-5367.5,1.0972407056556,147.960099750623,0,154
22474.628,2087,56.3009103977001,10.7688682319118,-5183.758,1.17928154652617,458.314378482788,0,155
-1702.422,181,53.0386740331492,-9.40564640883978,-3225.672,0.876405843581652,-57.84310261174,0,156
9103,3057,52.6333006215244,2.97775596990514,-8717.5,1.06032991576478,109.608669476219,0,157
18934.229,2480,52.5403225806452,7.63476975806452,-6447.866,1.18510144196913,318.470421916905,0,158
