Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_EdgeFinder)
-24307.5,3554,44.1755768148565,-6.83947664603264,-27687.5,0.892883111160075,-88.6003280481137,0,1
-17302.5,2633,45.2335738701101,-6.57140144322066,-21207.5,0.920863062568606,-83.0154731917956,0,2
-21792.5,4182,44.8350071736011,-5.21102343376375,-27047.5,0.924384108258154,-81.2092416620086,0,3
-46682.5,7109,45.0133633422422,-6.5666760444507,-48492.5,0.885058815563503,-96.7011910926981,0,4
-27455,2962,44.8008102633356,-9.26907494935854,-28955,0.874231266963662,-95.4209748892171,0,5
-15360,2633,45.043676414736,-5.83364982909229,-17565,0.905302096177559,-88.5940879596251,0,6
-40672.5,2369,44.153651329675,-17.1686365555087,-43127.5,0.838519489027186,-95.0014598540146,0,7
-36857.5,3741,44.6404704624432,-9.85231221598503,-41120,0.890693001771985,-90.1106289346617,0,8
-45262.5,2539,43.5998424576605,-17.8269003544703,-46710,0.836666756881106,-98.1354002926988,0,9
-26522.5,1870,44.9197860962567,-14.1831550802139,-32147.5,0.848596423627464,-83.0450097847358,0,10
-21025,2843,45.7263454097784,-7.39535701723532,-24007.5,0.869399798120972,-89.9465240641711,0,11
-14360,2091,44.3806791009087,-6.8675274988044,-18762.5,0.923121193870039,-78.5450567482565,0,12
-24067.5,2293,43.4801569995639,-10.4960750109027,-24972.5,0.804062442757414,-97.5874303091739,0,13
-19722.5,2154,45.125348189415,-9.15622098421541,-27492.5,0.907243888960741,-72.0127795527157,0,14
-8477.5,2091,45.9588713534194,-4.05428024868484,-14170,0.940189784111754,-60.7162041181737,0,15
-32580,2843,44.9173408371439,-11.4597256419275,-37570,0.893322855529088,-87.3048837676693,0,16
-36457.5,6463,44.3911496209191,-5.64095621228532,-39270,0.917867240388839,-93.1285522702599,0,17
-19942.5,1777,44.7383230163196,-11.2225661226787,-23590,0.893917229639874,-84.970174691095,0,18
-14130,3091,44.6457457133614,-4.57133613717244,-18952.5,0.924521246761572,-76.4196863169281,0,19
-10707.5,2221,44.0342188203512,-4.82102656461054,-17407.5,0.915693955081393,-62.7361945217519,0,20
-30095,3091,44.3545778065351,-9.73633128437399,-32985,0.902013772445342,-92.0336391437309,0,21
440,2734,45.0621799561083,0.160936356986101,-14457.5,1.00213571497913,3.0844724851034,0,22
-41810,5469,44.9990857560797,-7.64490766136405,-45697.5,0.899714566693051,-91.9153613630118,0,23
-39922.5,4182,43.974175035868,-9.54626972740316,-44587.5,0.892261503170962,-90.2050499915269,0,24
-24525,2369,43.2249894470241,-10.3524693963698,-28257.5,0.875542361269696,-86.968085106383,0,25
-32840,1823,42.4574876577071,-18.0142622051563,-36590,0.831794609129906,-90.3128222756961,0,26
-8595,1974,44.4275582573455,-4.35410334346505,-12397.5,0.939681035843992,-71.9849246231156,0,27
-45030,3949,43.8338819954419,-11.4028868067865,-49230,0.881772234985231,-91.8089607013609,0,28
-5597.5,2539,44.7420244190626,-2.20460811343048,-10612.5,0.955011252210256,-53.1450272964633,0,29
-34112.5,2843,44.1786844882167,-11.9987689060851,-38915,0.882224485568292,-88.282867494824,0,30
-15167.5,1777,44.625773776027,-8.53545301069218,-19087.5,0.899103623754802,-80.5282718343509,0,31
-26432.5,1734,45.7324106113033,-15.2436562860438,-27080,0.865160944753354,-98.2620817843866,0,32
8567.5,2451,45.4508363933089,3.49551203590371,-9857.5,1.05822784810127,91.1193831427812,0,33
-6110,2734,45.8302852962692,-2.23482077542063,-16317.5,0.958114824335904,-37.8386747174485,0,34
-16157.5,2633,45.1576148879605,-6.13653627041398,-17847.5,0.904547401379433,-92.0655270655271,0,35
-26337.5,6463,45.288565681572,-4.07511991335293,-33735,0.926458269343534,-78.760466507177,0,36
-10170,2734,45.0621799561083,-3.71982443306511,-14867.5,0.925131130946903,-68.9842292691199,0,37
-13822.5,2154,45.8217270194986,-6.41713091922006,-18795,0.896998826356676,-74.364492266308,0,38
-8035,3949,45.1000253228665,-2.03469232717144,-18092.5,0.960016918789809,-45.7313602731929,0,39
-31077.5,4182,45.0023912003826,-7.43125298900048,-37585,0.912008494071846,-83.3735747820255,0,40
-12772.5,2221,43.8541197658712,-5.75078793336335,-25647.5,0.933604512138067,-50.0931463869007,0,41
-12682.5,3091,45.0016175994824,-4.10304108702685,-16662.5,0.922298125229751,-77.4267399267399,0,42
-6062.5,2451,44.1044471644227,-2.4734802121583,-23845,0.969900827882384,-25.8170978388161,0,43
-45030,3949,43.8338819954419,-11.4028868067865,-49230,0.881772234985231,-91.8089607013609,0,44
-32655,4739,44.5874657100654,-6.89069423929099,-36022.5,0.909143393732828,-91.5218609865471,0,45
-20575,2031,44.6085672082718,-10.1304775972427,-24765,0.904393485281476,-83.7318140197375,0,46
-16945,2633,44.8917584504368,-6.43562476262818,-20895,0.925264353367956,-82.277251760136,0,47
-17485,2154,44.9396471680594,-8.11745589600743,-26520,0.91342023495624,-66.596838697391,0,48
-7990,1974,44.2755825734549,-4.04761904761905,-13967.5,0.946464764903935,-59.984984984985,0,49
-33345,3231,44.5063447848963,-10.3203342618384,-37792.5,0.900458972349715,-88.92,0,50
-26685,2031,43.3284096504185,-13.1388478581979,-30235,0.843826356679883,-88.9277680579855,0,51
-18565,5924,44.4125590817016,-3.13386225523295,-20520,0.937125875250828,-90.9491733006736,0,52
-39922.5,4182,43.974175035868,-9.54626972740316,-44587.5,0.892261503170962,-90.2050499915269,0,53
