Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_RandomStratTypeTrades)
-4358.662,3,0,-1452.88733333333,-4438.215,0,-100,0,1
-2579,5,0,-515.8,-3347.5,0,-100,0,2
-4528.038,6,33.3333333333333,-754.673,-5649.466,0.154392955226155,-91.9031712416932,0,3
0,0,0,0,0,0,0,0,4
-2446.5,14,28.5714285714286,-174.75,-5737,0.641564720533294,-63.0459992269037,0,5
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,7
-1825.003,7,57.1428571428571,-260.714714285714,-6835.358,0.549739515485975,-45.0260484514025,0,8
-4194.021,9,22.2222222222222,-466.002333333333,-7518.217,0.531427180305114,-76.1955224726613,0,9
6184.132,78,43.5897435897436,79.2837435897436,-11462.471,1.21078591404795,56.9822550688384,0,10
-1898,5,40,-379.6,-2917.5,0.376170912078882,-84.8268156424581,0,11
-1755.718,7,57.1428571428571,-250.816857142857,-6570.538,0.53278756142462,-47.7444597605378,0,12
-1385,1,0,-1385,-1912.5,0,-100,0,13
-17949.391,70,35.7142857142857,-256.419871428571,-21729.391,0.510987303001566,-89.4629191779021,0,14
-797.322,2,0,-398.661,-2200,0,-100,0,15
-2178.751,6,50,-363.125166666667,-3980,0.222668076656042,-84.4652282546962,0,16
-3501.877,5,20,-700.3754,-4707.947,0.0385122059973466,-96.1487794002653,0,17
1819.06,23,34.7826086956522,79.0895652173913,-9985.627,1.17071355819794,20.7699659984378,0,18
-12350.906,49,32.6530612244898,-252.059306122449,-16267.242,0.512219717721128,-83.2987416000899,0,19
-30423.125,58,32.7586206896552,-524.536637931034,-33686.25,0.422923261135019,-97.4709651581898,0,20
-1216.875,41,48.780487804878,-29.6798780487805,-9613.75,0.934646885069817,-20.3129890453834,0,21
2806.784,5,40,561.3568,-2738.215,2.90083217753121,190.083217753121,0,22
-27598.428,94,35.1063829787234,-293.60029787234,-29436.817,0.480348445460442,-97.430453728754,0,23
-23263.902,62,33.8709677419355,-375.224225806452,-23804.794,0.48577170466337,-100,0,24
-10236.882,45,33.3333333333333,-227.486266666667,-17296.881,0.606407651182036,-62.2515496326678,0,25
4581.066,17,47.0588235294118,269.474470588235,-6830.36,1.50872453901459,75.4661338042554,0,26
-10020.909,15,20,-668.0606,-12128.815,0.169894162822667,-86.258391030974,0,27
-20266,38,31.5789473684211,-533.315789473684,-22065,0.372758996897221,-100,0,28
-23840.625,89,33.7078651685393,-267.872191011236,-28863.125,0.599405593303998,-89.9222065063649,0,29
-615.893,1,0,-615.893,-2415,0,-100,0,30
-682.5,1,0,-682.5,-1705,0,-100,0,31
-27435.161,46,26.0869565217391,-596.416543478261,-29725.161,0.285846699583383,-96.8664667490106,0,32
4133.5,31,38.7096774193548,133.338709677419,-6897.625,1.28032993955629,76.954224942403,0,33
971.625,1,100,971.625,-3302.5,0,0,0,34
-3102.762,28,39.2857142857143,-110.812928571429,-10267.096,0.825663414793664,-38.8971029401846,0,35
6428.625,1,100,6428.625,-4052.5,0,0,0,36
6687.229,8,50,835.903625,-3804.376,3.29168674294166,248.035810589769,0,37
1058.034,6,66.6666666666667,176.339,-3467.144,1.47437855268078,67.7761179497166,0,38
-1571.34,1,0,-1571.34,-6155,0,-100,0,39
-900,4,25,-225,-3025.5,0.516389038151531,-48.3610961848469,0,40
-16898.985,188,43.6170212765957,-89.8882180851064,-19735.931,0.773952371846873,-89.6691439653472,0,41
-6003.319,18,38.8888888888889,-333.517722222222,-7990.974,0.254842398170309,-94.5981093989565,0,42
-23847.5,58,39.6551724137931,-411.163793103448,-25212.5,0.353726287262873,-96.9903406202339,0,43
0,0,0,0,0,0,0,0,44
9721.334,13,53.8461538461538,747.794923076923,-3172.5,5.67692466084922,1098.0091714105,0,45
-9707.5,25,28,-388.3,-12760,0.389849151477058,-91.3647058823529,0,46
-13057.873,50,32,-261.15746,-14539.658,0.546590564346067,-100,0,47
-21579.75,97,32.9896907216495,-222.471649484536,-24356.75,0.546553408768557,-98.8208222189149,0,48
-7546.255,12,16.6666666666667,-628.854583333333,-9997.415,0.214742794291105,-88.4681148639817,0,49
-2201.564,7,14.2857142857143,-314.509142857143,-7183.938,0.590416299078384,-40.9583700921616,0,50
6659.285,3,100,2219.76166666667,-3172.5,0,0,0,51
-3587.858,2,0,-1793.929,-3794.286,0,-100,0,52
-12508.356,36,30.5555555555556,-347.454333333333,-13493.98,0.415454826103695,-100,0,53
-13155.943,32,28.125,-411.12321875,-14514.786,0.454846229173759,-99.1895015494845,0,54
-3880.943,11,18.1818181818182,-352.813,-6347.773,0.344010351300209,-77.7312126948291,0,55
-3867.423,31,38.7096774193548,-124.755580645161,-12659.554,0.793632363102429,-40.8833581704018,0,56
-21892.5,50,28,-437.85,-23332.5,0.289420833755959,-100,0,57
-74.02,7,28.5714285714286,-10.5742857142857,-5425.716,0.981737557199663,-1.82624428003366,0,58
-18897.776,52,28.8461538461538,-363.418769230769,-21307.686,0.473151527659831,-98.3202582349915,0,59
-6527.189,10,20,-652.7189,-6750.001,0.171315182610082,-100,0,60
-30712.5,86,27.906976744186,-357.122093023256,-34630,0.448583868216706,-98.1543624161074,0,61
0,0,0,0,0,0,0,0,62
-1564.378,9,33.3333333333333,-173.819777777778,-4848.75,0.572793406223093,-42.7206593776907,0,63
