Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_RandomStratTypeTrades)
43040.828,209,66.0287081339713,205.936976076555,-12978.883,1.6502228314889,417.410816764347,0,1
40371.375,269,61.3382899628253,150.079460966543,-11902.75,1.54070284287907,415.755055803715,0,2
34212.356,155,67.741935483871,220.724877419355,-13662.906,1.5750009525266,292.390657612325,0,3
36421.875,395,62.0253164556962,92.2072784810127,-10615,1.41155242305682,416.368962560732,0,4
45133.065,158,65.8227848101266,285.652310126582,-15832.5,1.80656243471027,324.52320690275,0,5
43825,177,64.9717514124294,247.598870056497,-14322.5,1.75148969005873,346.922620225609,0,6
38410,215,70.2325581395349,178.651162790698,-14890,1.61031222690077,300.078125,0,7
35754.683,153,69.281045751634,233.690738562092,-11368.479,1.63728577058104,375.043391819503,0,8
43788.229,210,68.5714285714286,208.515376190476,-12355.982,1.72494070899089,459.430402869295,0,9
38607.5,200,69,193.0375,-13717.5,1.6039499413375,340.754633715799,0,10
35447.5,250,66,141.79,-13005,1.48422238918107,317.914798206278,0,11
52690.006,142,74.6478873239437,371.05638028169,-11457.5,2.22574606145665,572.250947597068,0,12
46512.5,158,67.0886075949367,294.382911392405,-10337.5,1.92599044395779,583.961079723792,0,13
43341.627,133,66.9172932330827,325.876894736842,-11608.214,1.85585327757976,505.789426083588,0,14
42697.264,293,68.259385665529,145.724450511945,-10643.928,1.60752856086556,526.755191060922,0,15
41126.613,175,67.4285714285714,235.009217142857,-11397.5,1.75666711190985,473.672479124676,0,16
38347.5,200,66.5,191.7375,-14582.5,1.59428150788424,322.586750788644,0,17
37609.664,158,64.5569620253165,238.035848101266,-12767.5,1.73099454066009,395.4749106204,0,18
41047.5,143,67.1328671328671,287.045454545455,-12882.5,1.7617965016471,363.252212389381,0,19
42337,376,63.563829787234,112.598404255319,-14245,1.46979515746022,371.54014918824,0,20
42622.814,142,69.7183098591549,300.160661971831,-14067.5,1.92275274692955,396.768107982313,0,21
44506.625,185,65.945945945946,240.576351351351,-13130.981,1.86598100001403,405.02982168327,0,22
46512.5,158,67.0886075949367,294.382911392405,-10337.5,1.92599044395779,583.961079723792,0,23
24085.055,301,60.4651162790698,80.0167940199336,-13112.321,1.30302413622938,209.160878173207,0,24
44057.5,231,70.1298701298701,190.725108225108,-13567.5,1.66459252554965,427.017203779985,0,25
44545.76,224,65.1785714285714,198.865,-12086.515,1.68768254750135,451.406643007532,0,26
38422.5,150,67.3333333333333,256.15,-15782.5,1.66775286757039,261.466485199047,0,27
40655.056,229,67.6855895196506,177.532995633188,-12215.892,1.5544538835203,430.627275473546,0,28
36640,429,63.1701631701632,85.4079254079254,-12732.5,1.37260385417196,349.785202863962,0,29
40240.018,198,69.6969696969697,203.232414141414,-12379.999,1.64169525988662,399.213616987841,0,30
50129.322,204,64.2156862745098,245.731970588235,-9091.785,1.87007973495621,780.00620839191,0,31
38347.5,200,66.5,191.7375,-14582.5,1.59428150788424,322.586750788644,0,32
35917.5,250,66,143.67,-16465,1.48875659125702,254.869611495476,0,33
38347.5,200,66.5,191.7375,-14582.5,1.59428150788424,322.586750788644,0,34
35802.5,430,62.093023255814,83.2616279069768,-12172.5,1.35245619216381,328.387984407246,0,35
41047.5,143,67.1328671328671,287.045454545455,-12882.5,1.7617965016471,363.252212389381,0,36
33662.694,298,64.4295302013423,112.962060402685,-11097.946,1.41758979685733,322.903539568345,0,37
36309.5,177,69.4915254237288,205.138418079096,-11064.5,1.66032280063651,391.287246080069,0,38
37747.185,116,64.6551724137931,325.406767241379,-9862.5,1.89123063527195,466.446524559778,0,39
50045,271,68.6346863468635,184.667896678967,-12930,1.77540308913959,566.280056577086,0,40
44205,188,70.7446808510638,235.132978723404,-13992.5,1.79882538965439,438.541666666667,0,41
38210.723,212,65.5660377358491,180.239259433962,-15884.285,1.54324827746567,279.749082779343,0,42
38410,215,70.2325581395349,178.651162790698,-14890,1.61031222690077,300.078125,0,43
44665.804,273,66.3003663003663,163.611003663004,-10875,1.57976143204324,464.663760728218,0,44
36880,301,65.4485049833887,122.524916943522,-10355,1.47490583652577,420.524515393387,0,45
44645,273,66.3003663003663,163.534798534799,-10875,1.57933495539335,464.44733420026,0,46
43500.675,366,64.4808743169399,118.854303278689,-12727.5,1.46147572874241,403.905988857939,0,47
39942.817,175,65.7142857142857,228.244668571429,-11397.5,1.68047859587472,408.413261758691,0,48
49494.69,230,68.2608695652174,215.194304347826,-10370,1.74711786478158,539.157843137255,0,49
30851.434,187,67.9144385026738,164.980930481283,-14617.5,1.49238214100467,231.660852262061,0,50
42727.447,94,69.1489361702128,454.547308510638,-10670,2.35986938745061,616.065890835771,0,51
40962.341,145,68.2758620689655,282.498903448276,-10336.607,1.92864082003729,807.125569620552,0,52
36604.375,116,70.6896551724138,315.554956896552,-12897,1.93359157062471,348.322826216248,0,53
44645,273,66.3003663003663,163.534798534799,-10875,1.57933495539335,464.44733420026,0,54
43645.719,200,66.5,218.228595,-12767.5,1.66368884699188,490.273480365401,0,55
38347.5,200,66.5,191.7375,-14582.5,1.59428150788424,322.586750788644,0,56
46533.572,158,67.0886075949367,294.516278481013,-10337.5,1.926798755791,584.225637162586,0,57
40969.293,149,67.1140939597315,274.961697986577,-12255,1.74761000631492,452.467286945193,0,58
50707.5,167,70.059880239521,303.637724550898,-12767.5,1.92291941575283,603.481106813448,0,59
35755,334,62.874251497006,107.050898203593,-13567.5,1.43919665888711,303.265479219678,0,60
44205,188,70.7446808510638,235.132978723404,-13992.5,1.79882538965439,438.541666666667,0,61
45378,200,68.5,226.89,-14975,1.73608824364329,407.068849517829,0,62
35755,334,62.874251497006,107.050898203593,-13567.5,1.43919665888711,303.265479219678,0,63
42520.182,157,70.7006369426752,270.829184713376,-11209.553,1.91454600050979,482.386140284141,0,64
40530,300,66,135.1,-11247.5,1.54097704217832,388.776978417266,0,65
35433.963,163,64.4171779141104,217.38627607362,-10802.32,1.74045009273607,417.229608520376,0,66
