Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_RandomDirectionalTrades)
5685,54,40.7407407407407,105.277777777778,-9740,1.36945572705118,61.9281045751634,0,296
5030,75,40,67.0666666666667,-9072.5,1.19325713187974,67.8812415654521,0,198
4562.5,65,33.8461538461538,70.1923076923077,-8432.5,1.26787024805519,57.44412968209,0,237
3612.5,54,35.1851851851852,66.8981481481482,-13140,1.1783070088845,28.9579158316633,0,252
3535,73,34.2465753424658,48.4246575342466,-10705,1.09495030889068,39.0931711363008,0,102
3535,73,34.2465753424658,48.4246575342466,-10705,1.09495030889068,39.0931711363008,0,482
3102.5,75,40,41.3666666666667,-9132.5,1.10263832602762,42.1821889870836,0,165
3102.5,75,40,41.3666666666667,-9132.5,1.10263832602762,42.1821889870836,0,225
2555,51,39.2156862745098,50.0980392156863,-9670,1.13799621928166,34.364492266308,0,242
2555,51,39.2156862745098,50.0980392156863,-9670,1.13799621928166,34.364492266308,0,315
2152.5,73,35.6164383561644,29.486301369863,-9522.5,1.06235064088638,28.9801413665433,0,302
2030,54,35.1851851851852,37.5925925925926,-12307.5,1.11570247933884,17.2692471288813,0,172
1985,54,33.3333333333333,36.7592592592593,-11677.5,1.11810203778075,17.5469613259669,0,199
1867.5,81,41.9753086419753,23.0555555555556,-8420,1.07532519915297,26.6881028938907,0,167
1865,54,35.1851851851852,34.537037037037,-12965,1.10079718956898,15.1718527557454,0,421
1747.5,81,41.9753086419753,21.5740740740741,-6322.5,1.07444089456869,37.8246753246753,0,84
1180,54,37.037037037037,21.8518518518519,-12605,1.06044307849917,10.0021190930282,0,478
762.5,47,29.7872340425532,16.2234042553191,-12037.5,1.03028196981732,7.14118473425427,0,331
762.5,47,29.7872340425532,16.2234042553191,-12037.5,1.03028196981732,7.14118473425427,0,414
762.5,47,29.7872340425532,16.2234042553191,-12037.5,1.03028196981732,7.14118473425427,0,495
197.5,81,38.2716049382716,2.43827160493827,-10740,1.00694994281693,2.15141612200436,0,402
15,64,40.625,0.234375,-9545,1.00051137816415,0.186509170034193,0,40
15,64,40.625,0.234375,-9545,1.00051137816415,0.186509170034193,0,378
-97.5,65,40,-1.5,-9435,0.995794694845806,-1.08093126385809,0,176
-365,47,36.1702127659574,-7.76595744680851,-11430,0.986169003410383,-3.62372797220154,0,6
-365,47,36.1702127659574,-7.76595744680851,-11430,0.986169003410383,-3.62372797220154,0,329
-695,81,35.8024691358025,-8.58024691358025,-8785,0.972904483430799,-9.70331588132635,0,337
-1170,51,35.2941176470588,-22.9411764705882,-11960,0.944595714454836,-12.6384012962463,0,54
-1325,54,35.1851851851852,-24.537037037037,-16612.5,0.945730083964776,-8.25159582749494,0,235
-1342.5,53,43.3962264150943,-25.3301886792453,-13077.5,0.916550116550117,-11.1758584807492,0,429
-1457.5,51,37.2549019607843,-28.578431372549,-12450,0.936450839328537,-16.4410603496898,0,466
-1812.5,65,36.9230769230769,-27.8846153846154,-13242.5,0.930362116991644,-14.1325536062378,0,263
-1902.5,81,39.5061728395062,-23.4876543209877,-11032.5,0.927880970432146,-20.7300463089077,0,57
-2155,81,34.5679012345679,-26.6049382716049,-10460,0.924146427314326,-24.4747302668938,0,283
-2305,73,32.8767123287671,-31.5753424657534,-11462.5,0.934665532879819,-23.4069560802234,0,160
-2452.5,54,33.3333333333333,-45.4166666666667,-19660,0.907269118064089,-13.213900862069,0,202
-2480,81,41.9753086419753,-30.6172839506173,-12327.5,0.921512777909645,-21.3241616509028,0,364
-2635,54,35.1851851851852,-48.7962962962963,-18162.5,0.897868217054264,-15.1176133103844,0,405
-2642.5,53,37.7358490566038,-49.8584905660377,-13170,0.860092653871608,-21.8163054695562,0,187
-2642.5,53,37.7358490566038,-49.8584905660377,-13170,0.860092653871608,-21.8163054695562,0,255
-2762.5,44,36.3636363636364,-62.7840909090909,-13360,0.863563402889246,-23.0881738403677,0,499
-2775,46,32.6086956521739,-60.3260869565217,-11772.5,0.904186447993095,-28.3307810107198,0,301
-3060,52,40.3846153846154,-58.8461538461538,-5527.5,0.792998477929985,-62.2583926754832,0,323
-3125,53,37.7358490566038,-58.9622641509434,-13090,0.858196256381168,-25.3910217347146,0,121
-3125,53,37.7358490566038,-58.9622641509434,-13090,0.858196256381168,-25.3910217347146,0,273
-3142.5,56,42.8571428571429,-56.1160714285714,-7805,0.812163777644949,-42.4375422012154,0,23
-3315,53,37.7358490566038,-62.5471698113208,-13960,0.821269712899313,-25.2908640091551,0,162
-3345,64,40.625,-52.265625,-10335,0.862473018809744,-41.2580943570768,0,70
-3347.5,46,36.9565217391304,-72.7717391304348,-9880,0.839390668106033,-42.2131147540984,0,72
-3347.5,46,36.9565217391304,-72.7717391304348,-9880,0.839390668106033,-42.2131147540984,0,406
-3370,64,42.1875,-52.65625,-7767.5,0.835388936378068,-55.1103843008994,0,22
-3612.5,46,34.7826086956522,-78.5326086956522,-10775,0.799166087560806,-61.990561990562,0,19
-3750,46,34.7826086956522,-81.5217391304348,-10860,0.808085977482088,-58.3884780070066,0,481
-3845,65,36.9230769230769,-59.1538461538462,-14330,0.868254240191879,-29.228430254656,0,393
-3947.5,48,41.6666666666667,-82.2395833333333,-7372.5,0.774525203484221,-59.9696164071401,0,157
-4005,64,40.625,-62.578125,-10247.5,0.860185023564322,-45.7975986277873,0,191
-4005,64,40.625,-62.578125,-10247.5,0.860185023564322,-45.7975986277873,0,192
-4562.5,88,36.3636363636364,-51.8465909090909,-15415,0.880186449579832,-33.7650323774283,0,55
-4562.5,88,36.3636363636364,-51.8465909090909,-15415,0.880186449579832,-33.7650323774283,0,59
-4565,88,38.6363636363636,-51.875,-12757.5,0.875170905113481,-38.5883347421809,0,11
-4812.5,71,36.6197183098592,-67.7816901408451,-11165,0.817049990496103,-50.1171569903671,0,403
-4812.5,71,36.6197183098592,-67.7816901408451,-11165,0.817049990496103,-50.1171569903671,0,433
-4855,73,38.3561643835616,-66.5068493150685,-12770,0.838597074468085,-45.2891791044776,0,220
-4925,64,48.4375,-76.953125,-11530,0.823112148693544,-49.1149339316879,0,360
-5050,44,31.8181818181818,-114.772727272727,-10630,0.805376240485596,-56.7415730337079,0,496
-5130,50,30,-102.6,-15275,0.769074949358541,-35.9055118110236,0,350
-5142.5,57,36.8421052631579,-90.219298245614,-9747.5,0.764159596422839,-55.6246619794484,0,105
-5170,64,39.0625,-80.78125,-13220,0.809031304829624,-45.5406298172209,0,359
-5197.5,52,34.6153846153846,-99.9519230769231,-7242.5,0.731291198138813,-82.6968973747017,0,99
-5370,49,38.7755102040816,-109.591836734694,-13290,0.759865846841811,-49.5159059474412,0,353
-5370,49,38.7755102040816,-109.591836734694,-13290,0.759865846841811,-49.5159059474412,0,471
-5480,88,37.5,-62.2727272727273,-15915,0.866333313006891,-37.4380871050384,0,311
-5500,97,40.2061855670103,-56.7010309278351,-9630,0.823420820290553,-92.1658986175115,0,339
-5550,50,32,-111,-14272.5,0.72333000997009,-41.2792859799182,0,464
-5855,51,27.4509803921569,-114.803921568627,-12702.5,0.784207131668663,-57.3457394711068,0,30
-5875,66,39.3939393939394,-89.0151515151515,-10757.5,0.774298885900884,-56.7084942084942,0,423
-5957.5,88,37.5,-67.6988636363636,-12822.5,0.810391470401018,-48.5830784913354,0,269
-5957.5,88,37.5,-67.6988636363636,-12822.5,0.810391470401018,-48.5830784913354,0,450
-5965,64,42.1875,-93.203125,-14267.5,0.820385426076483,-46.7293380336859,0,254
-5972.5,65,33.8461538461538,-91.8846153846154,-19375,0.8143312349421,-32.6098826098826,0,367
-6017.5,44,29.5454545454545,-136.761363636364,-11082.5,0.772193829263676,-69.2661870503597,0,270
-6022.5,44,27.2727272727273,-136.875,-10847.5,0.776302349336057,-71.1669128508124,0,46
-6022.5,44,27.2727272727273,-136.875,-10847.5,0.776302349336057,-71.1669128508124,0,357
-6022.5,44,27.2727272727273,-136.875,-10847.5,0.776302349336057,-71.1669128508124,0,461
-6285,91,37.3626373626374,-69.0659340659341,-14827.5,0.826728237645599,-45.7756737072105,0,56
-6312.5,88,39.7727272727273,-71.7329545454545,-12360,0.788914897174386,-54.6773495019489,0,64
-6337.5,66,42.4242424242424,-96.0227272727273,-9065,0.741062308478039,-72.7820844099914,0,184
-6747.5,71,32.3943661971831,-95.0352112676056,-11300,0.782198192382182,-72.2043873729267,0,332
-6747.5,71,32.3943661971831,-95.0352112676056,-11300,0.782198192382182,-72.2043873729267,0,382
-6805,60,38.3333333333333,-113.416666666667,-11875,0.655355786275006,-72.3359022056869,0,455
-6872.5,97,38.1443298969072,-70.8505154639175,-12400,0.819192317811102,-73.1895633652822,0,261
-7027.5,71,35.2112676056338,-98.9788732394366,-13175,0.737999813589337,-56.6163141993958,0,452
-7050,70,35.7142857142857,-100.714285714286,-19502.5,0.748842180263627,-36.6043613707165,0,233
-7050,70,35.7142857142857,-100.714285714286,-19502.5,0.748842180263627,-36.6043613707165,0,292
-7050,70,35.7142857142857,-100.714285714286,-19502.5,0.748842180263627,-36.6043613707165,0,386
-7222.5,130,32.3076923076923,-55.5576923076923,-13105,0.83036815219306,-57.0497630331754,0,358
-7292.5,64,37.5,-113.9453125,-9585,0.610026737967914,-86.6349866349866,0,468
-7367.5,70,35.7142857142857,-105.25,-18062.5,0.81230494872938,-46.5781571044729,0,138
-7367.5,70,35.7142857142857,-105.25,-18062.5,0.81230494872938,-46.5781571044729,0,444
-7385,55,40,-134.272727272727,-13220,0.721766977488933,-57.4149659863946,0,52
-7455,55,40,-135.545454545455,-13870,0.728390563803625,-55.1303383250139,0,93
-7497.5,48,37.5,-156.197916666667,-8867.5,0.577665117589072,-93.1077305184725,0,404
-7562.5,48,39.5833333333333,-157.552083333333,-11130,0.633688544441753,-75.4364089775561,0,163
-7562.5,48,39.5833333333333,-157.552083333333,-11130,0.633688544441753,-75.4364089775561,0,341
-7680,70,31.4285714285714,-109.714285714286,-17450,0.776451753747635,-46.9437652811736,0,41
-7680,70,31.4285714285714,-109.714285714286,-17450,0.776451753747635,-46.9437652811736,0,91
-7680,70,31.4285714285714,-109.714285714286,-17450,0.776451753747635,-46.9437652811736,0,181
-7700,51,29.4117647058824,-150.980392156863,-12255,0.742797494780793,-71.727992547741,0,48
-7782.5,48,35.4166666666667,-162.135416666667,-10827.5,0.636501634750117,-75.39355776217,0,472
-7800,44,27.2727272727273,-177.272727272727,-12777.5,0.698579847357743,-77.1895101434933,0,297
-7830,57,35.0877192982456,-137.368421052632,-11757.5,0.670176916596462,-69.8639304037475,0,168
-7830,57,35.0877192982456,-137.368421052632,-11757.5,0.670176916596462,-69.8639304037475,0,330
-7835,73,41.0958904109589,-107.328767123288,-14475,0.727264815942912,-60.9253499222395,0,34
-7865,65,36.9230769230769,-121,-15340,0.740493277241607,-52.2851919561243,0,306
-8245,70,32.8571428571429,-117.785714285714,-19037.5,0.71790266016594,-44.60976599486,0,175
