Net Profit,Total Trades,% Profitable,Avg Trade,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,simulationCount (_RandomStratTypeTrades)
-8322.512,69,63.768115942029,-120.616115942029,-19415.628,0.74884679426066,-43.6748240467331,0,198
-7382.724,119,56.3025210084034,-62.0396974789916,-14377.157,0.780426753568935,-54.486427220999,0,16
-4177.5,60,60,-69.625,-11715.5,0.782035896900762,-45.1377633711507,0,300
-4083.758,25,60,-163.35032,-5473.596,0.511119459125297,-89.6143261509617,0,9
-3928.75,108,65.7407407407407,-36.3773148148148,-20357.5,0.911154454997739,-20.5693717277487,0,357
-2457.75,19,63.1578947368421,-129.355263157895,-3531,0.561976474781679,-86.6701930706162,0,155
-2386.25,105,67.6190476190476,-22.7261904761905,-20811.25,0.945672899058027,-12.1949661428389,0,466
-2166.255,14,42.8571428571429,-154.7325,-3169.822,0.446930891605343,-79.9302408472937,0,418
-1883.125,36,69.4444444444444,-52.3090277777778,-7385.625,0.872417005420054,-31.206628689798,0,250
-1766.261,63,68.2539682539683,-28.0358888888889,-15125.94,0.935034087719123,-12.7470319717748,0,225
-1587.964,128,64.0625,-12.40596875,-18481.877,0.966070735914645,-9.29584921556591,0,249
-1466.875,35,65.7142857142857,-41.9107142857143,-8535.625,0.897725291964441,-24.3288068829688,0,258
-1333.575,8,75,-166.696875,-4923.216,0.652488689905227,-37.6070938189936,0,157
-1285,37,62.1621621621622,-34.7297297297297,-9068.75,0.900829635346325,-17.082087072117,0,305
-1247.882,55,43.6363636363636,-22.6887636363636,-5392.503,0.874910421678951,-32.5604963649083,0,129
-1221.614,16,50,-76.350875,-2495,0.640210864176151,-72.9785804108284,0,30
-1219.566,31,64.5161290322581,-39.3408387096774,-5473.842,0.880656217303335,-25.2069305696706,0,231
-1213.194,59,67.7966101694915,-20.5626101694915,-11609.868,0.944766859405421,-11.2500632888738,0,18
-953.968,119,63.8655462184874,-8.01653781512605,-15063.934,0.980377523604019,-6.87969235637656,0,212
-671.491,169,62.1301775147929,-3.97331952662722,-22221.171,0.989727312089864,-3.14749829357839,0,161
-591.565,141,62.4113475177305,-4.19549645390071,-20847.874,0.987088847624787,-3.00166826721137,0,253
-586.439,25,64,-23.45756,-7072.503,0.924333985948011,-10.2345321634212,0,119
